Rule,Class,"p=0, c=1 no translation","p=0, c=1, left translation","p=0, c=1, right translation","p=0, c=1, left-2 translation","p=0, c=1, right-2 translation"
94,2,0.2811995743229619,-1.1102230246251565e-16,1.7763568394002489e-15,0.2811995743229622,0.2811995743229622
104,1,0.3222846159710302,-8.881784197001256e-16,-4.440892098500627e-16,0.32228461597103164,0.32228461597103164
105,3,6.661338147750937e-16,2.2204460492503128e-16,-3.33066907387547e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
106,4,-7.771561172376099e-16,0.48121182505960475,2.2204460492503128e-16,1.110223024625156e-15,1.110223024625156e-15
108,2,0.48121182505960336,-2.2204460492503136e-16,1.110223024625156e-15,0.4812118250596043,0.4812118250596043
110,4,-1.1102230246251565e-16,8.881784197001248e-16,2.2204460492503128e-16,6.661338147750937e-16,6.661338147750937e-16
122,3,0.0,-5.551115123125785e-16,1.923337026688199e-08,4.440892098500625e-16,4.440892098500625e-16
126,3,0.0,-2.2204460492503136e-16,-4.440892098500627e-16,-4.440892098500627e-16,-4.440892098500627e-16
128,1,0.0,1.3731566678256659e-08,-1.1102230246251565e-16,2.2204460492503128e-16,2.2204460492503128e-16
130,2,0.0,0.38224508584003525,4.440892098500625e-16,0.0,0.0
132,2,0.48121182505960364,1.216915960589803e-08,-7.771561172376099e-16,0.4812118250596029,0.4812118250596029
134,2,1.3225477292462346e-08,1.332267629550187e-15,-1.1102230246251565e-16,1.2386667836873897e-08,1.2386667836873897e-08
136,1,1.3553835517561249e-08,1.6899916656514203e-08,0.0,0.0,0.0
138,2,2.2204460492503128e-16,0.562399148645923,-1.1102230246251565e-16,2.2204460492503128e-16,2.2204460492503128e-16
140,2,0.48121182505960364,8.881784197001248e-16,4.440892098500625e-16,0.48121182505960336,0.48121182505960336
142,2,0.0,0.48121182505960264,2.2204460492503128e-16,2.4215214873190493e-08,2.4215214873190493e-08
146,3,-1.1102230246251565e-16,8.881784197001248e-16,6.661338147750937e-16,0.0,0.0
150,3,0.0,2.2204460492503128e-16,0.0,0.0,0.0
152,2,8.275124995416481e-09,2.2204460492503128e-16,0.3822450858400354,-3.33066907387547e-16,-3.33066907387547e-16
154,2,6.661338147750937e-16,1.5948083615330097e-08,2.2204460492503128e-16,4.440892098500625e-16,4.440892098500625e-16
156,2,1.4562900579715482e-06,-1.1102230246251565e-16,1.110223024625156e-15,3.5356988911865656e-06,3.5356988911865656e-06
160,1,-1.1102230246251565e-16,3.757836047568284e-06,3.476527747273433e-06,4.440892098500625e-16,4.440892098500625e-16
162,2,2.2204460492503128e-16,0.4812118250596039,6.3367999535610455e-09,0.0,0.0
164,2,0.38224508584003586,2.2204460492503128e-16,9.28608297053308e-09,0.38224508584003575,0.38224508584003575
168,1,-3.33066907387547e-16,0.48121182505960264,-2.2204460492503136e-16,8.881784197001248e-16,8.881784197001248e-16
170,2,4.440892098500625e-16,0.6931471805599453,0.0,0.0,0.0
172,2,0.3822450858400354,0.38224508584003575,6.661338147750937e-16,0.38224508584003586,0.38224508584003586
178,2,0.0,4.000137768571381e-09,2.2177885060077987e-08,0.0,0.0
184,2,6.971369013300546e-09,0.48121182505960525,0.4812118250596031,4.370844343566601e-09,4.370844343566601e-09
200,1,0.5623991486459243,8.881784197001248e-16,4.440892098500625e-16,0.5623991486459241,0.5623991486459241
204,2,0.6931471805599452,0.0,0.0,0.6931471805599457,0.6931471805599457
232,1,0.48121182505960375,0.0,2.9122024749256645e-09,0.48121182505960336,0.48121182505960336
